"jurisdiction","age_group","year","population"
"Alabama","all",2010,4769468
"Alabama","all",2011,4784152
"Alabama","all",2012,4800977
"Alabama","all",2013,4816262
"Alabama","all",2014,4828827
"Alabama","all",2015,4841159
"Alabama","all",2016,4853645
"Alabama","all",2017,4864966
"Alabama","all",2018,4877535
"Alabama","all",2019,4893872
"Alabama","all",2020,5012911
"Alabama","all",2021,5027531
"Alabama","all",2022,5050991
"Alabama","all",2023,5074452
"Alabama","0-24",2010,1606391
"Alabama","0-24",2011,1601755
"Alabama","0-24",2012,1598445
"Alabama","0-24",2013,1593250
"Alabama","0-24",2014,1583375
"Alabama","0-24",2015,1571564
"Alabama","0-24",2016,1559318
"Alabama","0-24",2017,1548845
"Alabama","0-24",2018,1541905
"Alabama","0-24",2019,1535567
"Alabama","0-24",2020,1576243
"Alabama","0-24",2021,1575061
"Alabama","0-24",2022,1572213
"Alabama","0-24",2023,1569365
"Alabama","25-44",2010,1218237
"Alabama","25-44",2011,1215394
"Alabama","25-44",2012,1215563
"Alabama","25-44",2013,1217659
"Alabama","25-44",2014,1219671
"Alabama","25-44",2015,1222034
"Alabama","25-44",2016,1222731
"Alabama","25-44",2017,1224802
"Alabama","25-44",2018,1227815
"Alabama","25-44",2019,1233593
"Alabama","25-44",2020,1263572
"Alabama","25-44",2021,1269964
"Alabama","25-44",2022,1274666
"Alabama","25-44",2023,1279369
"Alabama","45-64",2010,1283998
"Alabama","45-64",2011,1294955
"Alabama","45-64",2012,1288884
"Alabama","45-64",2013,1285634
"Alabama","45-64",2014,1283789
"Alabama","45-64",2015,1285260
"Alabama","45-64",2016,1287591
"Alabama","45-64",2017,1286053
"Alabama","45-64",2018,1280835
"Alabama","45-64",2019,1273192
"Alabama","45-64",2020,1304190
"Alabama","45-64",2021,1293689
"Alabama","45-64",2022,1294570
"Alabama","45-64",2023,1295451
"Alabama","65-74",2010,372268
"Alabama","65-74",2011,379340
"Alabama","65-74",2012,401247
"Alabama","65-74",2013,418043
"Alabama","65-74",2014,434217
"Alabama","65-74",2015,449138
"Alabama","65-74",2016,464063
"Alabama","65-74",2017,477488
"Alabama","65-74",2018,487561
"Alabama","65-74",2019,502435
"Alabama","65-74",2020,526214
"Alabama","65-74",2021,541944
"Alabama","65-74",2022,557369
"Alabama","65-74",2023,572794
"Alabama","75-84",2010,212330
"Alabama","75-84",2011,214853
"Alabama","75-84",2012,216823
"Alabama","75-84",2013,220121
"Alabama","75-84",2014,224204
"Alabama","75-84",2015,227741
"Alabama","75-84",2016,232540
"Alabama","75-84",2017,238473
"Alabama","75-84",2018,248759
"Alabama","75-84",2019,257058
"Alabama","75-84",2020,257304
"Alabama","75-84",2021,261671
"Alabama","75-84",2022,266157
"Alabama","75-84",2023,270642
"Alabama","85+",2010,76244
"Alabama","85+",2011,77855
"Alabama","85+",2012,80015
"Alabama","85+",2013,81555
"Alabama","85+",2014,83571
"Alabama","85+",2015,85422
"Alabama","85+",2016,87402
"Alabama","85+",2017,89305
"Alabama","85+",2018,90660
"Alabama","85+",2019,92027
"Alabama","85+",2020,85388
"Alabama","85+",2021,85202
"Alabama","85+",2022,86016
"Alabama","85+",2023,86831
"Alaska","all",2010,691746
"Alaska","all",2011,703301
"Alaska","all",2012,709830
"Alaska","all",2013,714031
"Alaska","all",2014,714962
"Alaska","all",2015,716411
"Alaska","all",2016,721037
